scenario,building,city,year,occupied_hours,unmet_hours,annual_kwh,peak_kw,baseline_peak_year,baseline_peak_kw,ulh_ratio,ulh_percent,stress_index,stress_per_1000kwh,peak_ratio
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2066,2349,335.8333333333365,394886.1111111427,160.68739855176406,2025,214.10830628208268,0.14296863913722285,14.296863913722285,0.0008504561793484161,0.8504561793484161,0.7504958651163313
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2067,2349,342.66666666667066,385541.6666666976,161.8980330110034,2025,214.10830628208268,0.14587767844472996,14.587767844472996,0.0008887928239489286,0.8887928239489287,0.7561501738176685
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2068,2349,402.3333333333441,400930.5555555876,167.39244661569973,2025,214.10830628208268,0.17127855825174293,17.127855825174294,0.001003498804863632,1.003498804863632,0.7818120161819603
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2069,2349,434.33333333334775,403333.3333333656,162.84398808308342,2025,214.10830628208268,0.18490137647226385,18.490137647226383,0.001076859504132181,1.076859504132181,0.7605682885956805
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2070,2349,479.8333333333529,425716.6666667007,160.25625070936388,2025,214.10830628208268,0.20427132112956703,20.427132112956702,0.00112711897584461,1.12711897584461,0.7484821747094204
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2071,2349,319.83333333333474,397655.55555558734,164.6239247954153,2025,214.10830628208268,0.13615723002696242,13.615723002696242,0.0008042974098185986,0.8042974098185985,0.7688815424961941
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2072,2349,339.0000000000036,395175.00000003166,154.9893945432199,2025,214.10830628208268,0.1443167305236286,14.431673052362859,0.0008578477889542011,0.8578477889542011,0.7238831469668673
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2073,2349,385.50000000000887,400847.2222222543,162.9051228953161,2025,214.10830628208268,0.16411238825032307,16.411238825032306,0.0009617130383562044,0.9617130383562044,0.7608538207793416
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2074,2349,486.33333333335366,427561.1111111453,159.29108081858502,2025,214.10830628208268,0.20703845608061033,20.703845608061034,0.0011374592325982856,1.1374592325982857,0.7439743164785151
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2075,2349,441.6666666666819,417163.8888889222,162.07778897312448,2025,214.10830628208268,0.18802327231446656,18.802327231446654,0.0010587365743545555,1.0587365743545554,0.7569897300462075
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2076,2349,574.8333333333422,422477.7777778116,164.36155021757878,2025,214.10830628208268,0.24471406272172935,24.471406272172935,0.0013606238329431307,1.3606238329431308,0.7676561132618381
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2077,2349,268.66666666666225,400672.2222222543,160.711615780595,2025,214.10830628208268,0.11437491130977533,11.437491130977532,0.0006705397873018307,0.6705397873018306,0.750608972492927
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2078,2349,413.000000000012,413208.3333333664,163.13430742746806,2025,214.10830628208268,0.17581949765858323,17.581949765858322,0.0009994958152666628,0.9994958152666628,0.7619242347961149
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2079,2349,480.333333333353,425516.6666667007,163.07137527048187,2025,214.10830628208268,0.20448417766426266,20.448417766426267,0.0011288237828521747,1.1288237828521748,0.7616303080537153
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2080,2349,424.8333333333467,425469.4444444785,163.016934802955,2025,214.10830628208268,0.1808571023130467,18.08571023130467,0.0009985049194027027,0.9985049194027027,0.7613760420307282
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2081,2349,373.3333333333408,408369.4444444772,159.96133042160827,2025,214.10830628208268,0.15893287923939584,15.893287923939583,0.0009142048662362642,0.9142048662362642,0.747104739649208
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2082,2349,663.9999999999886,436177.7777778127,163.016934802955,2025,214.10830628208268,0.2826734780757721,28.26734780757721,0.0015223150601180507,1.5223150601180506,0.7613760420307282
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2083,2349,472.66666666668544,420088.88888892246,163.46241886444324,2025,214.10830628208268,0.20122037746559618,20.122037746559617,0.0011251586965721088,1.1251586965721088,0.763456690228007
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2084,2349,397.8333333333436,409708.3333333661,159.26842943651087,2025,214.10830628208268,0.16936284943948215,16.936284943948216,0.0009710159666428845,0.9710159666428846,0.7438685224415276
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,2085,2349,471.6666666666853,414680.5555555887,160.88996504012215,2025,214.10830628208268,0.20079466439620489,20.07946643962049,0.0011374217101516773,1.1374217101516773,0.7514419586699892
