scenario,building,city,climate_type,decade,score_family,year_start,year_end,n_years,family_score_mean,family_score_sd,max_breached_component_count,component_metrics,interpretation_note,decade_midpoint,decade_order
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2035-2044,habitability,2035,2044,10,0.2162502842182359,0.1371933760025027,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2039.5,1
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2035-2044,operational_adequacy,2035,2044,10,-0.037655378007527,0.5780766745432748,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2039.5,1
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2045-2054,habitability,2045,2054,10,0.3276980666111683,0.2105795686305271,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2049.5,2
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2045-2054,operational_adequacy,2045,2054,10,0.4877853269950953,0.5897538252700589,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2049.5,2
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2055-2064,habitability,2055,2064,10,0.8704008822632934,0.7384493532652964,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2059.5,3
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2055-2064,operational_adequacy,2055,2064,10,0.4394520118712677,0.8419991557008663,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2059.5,3
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2065-2074,habitability,2065,2074,10,0.9761045362676872,1.3378993625890054,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2069.5,4
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2065-2074,operational_adequacy,2065,2074,10,0.3048861839487909,0.8807380234025916,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2069.5,4
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2075-2084,habitability,2075,2084,10,0.5397227242661176,0.4684693688258501,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2075-2084,operational_adequacy,2075,2084,10,-0.1105059981355753,0.6353124554574548,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2079.5,5
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2085-2094,habitability,2085,2094,10,1.7747367963351928,1.4386436963137317,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2085-2094,operational_adequacy,2085,2094,10,1.390469238527134,1.0962149325849866,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2089.5,6
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2095-2100,habitability,2095,2100,6,1.700067402797519,1.5483895684672928,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k; peak_operative_temperature_c,,2097.5,7
CORDEX_CMIP5_REMO2015_rcp85,office,Vancouver,Cfb,2095-2100,operational_adequacy,2095,2100,6,1.0713079467869415,0.9511814121057218,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_peak_demand_kw; heating_unmet_hours,,2097.5,7
