scenario,building,city,climate_type,decade,score_family,year_start,year_end,n_years,family_score_mean,family_score_sd,max_breached_component_count,component_metrics,interpretation_note
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2025-2034,operational_adequacy,2025,2034,10,5.884182030513329e-16,0.6613638432600603,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2035-2044,energy_burden_secondary,2035,2044,10,1.289814327356062,1.2683927618535862,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2035-2044,habitability,2035,2044,10,0.41384132766158005,1.0310918245451048,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2035-2044,operational_adequacy,2035,2044,10,0.3122375204804067,0.6026907962153955,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2045-2054,energy_burden_secondary,2045,2054,10,1.8069209177454735,1.1347608886220695,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2045-2054,habitability,2045,2054,10,0.630388808969897,0.9759763066134831,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2045-2054,operational_adequacy,2045,2054,10,-0.14181654141790462,0.7664608194269033,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2055-2064,energy_burden_secondary,2055,2064,10,2.8854849824052775,1.2539308968145058,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2055-2064,habitability,2055,2064,10,1.223060113366405,0.929661427612802,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2055-2064,operational_adequacy,2055,2064,10,0.09222021038866626,0.6064042750064476,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2065-2074,energy_burden_secondary,2065,2074,10,3.17774769553429,1.2832416272670284,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2065-2074,habitability,2065,2074,10,1.3057492091147926,1.0669540065169625,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2065-2074,operational_adequacy,2065,2074,10,-0.44403937060990745,0.6570167427720672,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2075-2084,energy_burden_secondary,2075,2084,10,3.5572017748070293,1.0212150431849096,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2075-2084,habitability,2075,2084,10,1.5186088578106733,1.0812208905663148,1,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2075-2084,operational_adequacy,2075,2084,10,-0.7496296281341952,0.7433743067066653,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2085-2094,energy_burden_secondary,2085,2094,10,5.398381347438897,0.9464092534452923,0,annual_cooling_electricity_kwh,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2085-2094,habitability,2085,2094,10,1.43437682506638,0.9941088289622234,0,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,
CORDEX_CMIP5_REMO2015_rcp85,office,Montreal,Dfb,2085-2094,operational_adequacy,2085,2094,10,-0.7176858928532504,0.7451254753616123,0,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,
