scenario,building,city,climate_type,decade,metric,label,role,family,subfamily,unit,analysis_tier,failure_relevant,year_start,year_end,n_years,metric_value_mean,metric_value_sd,delta_abs_mean,delta_log_mean,delta_std_mean,breach_frequency_pct
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,cooling_peak_demand_kw,Cooling peak demand,response,building_responses,operational_adequacy,kW,main,False,2045,2054,10,66.44148,3.4210341508672486,1.3522499999999973,0.019409926985535543,0.7307579124190742,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,response,building_responses,operational_adequacy,h,main,True,2045,2054,10,283.08333333333246,57.590307504987386,48.71666666666779,0.1702015094089953,0.8433359587907802,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,daily_edh_exceedance_days,Daily EDH exceedance days,response,building_responses,habitability,days,main,True,2045,2054,10,2.1,1.66332999331662,0.1,-1.4678556441987032,0.07905694150420947,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,hdd_18,Heating degree days,driver,climate_drivers,demand_background,degree-days,main,False,2045,2054,10,658.299,71.18995597851021,-155.80399999999995,-0.21754679948388853,-1.009056770675483,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,heating_peak_demand_kw,Heating peak demand,response,building_responses,operational_adequacy,kW,main,False,2045,2054,10,51.763628000000004,21.514812834984077,-22.513790999999994,-0.43296932735432814,-0.6059114584403457,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,heating_unmet_hours,Heating unmet hours,response,building_responses,operational_adequacy,h,main,True,2045,2054,10,5.866,3.1509441265895033,-4.616,-0.7276238449857395,-0.8357024970224126,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,heatwave_days,Heatwave days,driver,climate_drivers,persistence_heatwave,days,main,False,2045,2054,10,0.0,0.0,0.0,0.0,0.0,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,indoor_rh_max_pct,Indoor RH max,response,building_responses,durability,%,supplementary,False,2045,2054,10,76.93944654782157,4.787479916793548,2.6220311501403373,0.03298893004201027,0.7717602216492869,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,maximum_consecutive_hot_days,Maximum consecutive hot days,driver,climate_drivers,persistence_heatwave,days,main,False,2045,2054,10,0.3,0.6749485577105528,0.3,2.8324169796487864,0.39240418276826317,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,maximum_daily_edh_k_h,Maximum daily EDH,response,building_responses,habitability,K h,main,True,2045,2054,10,8.68708,2.4723316344428117,1.1153599999999997,0.0961955306799623,0.5966754292127285,20.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,maximum_delta_t_k,Maximum delta_t,response,building_responses,habitability,K,main,False,2045,2054,10,0.91325,0.11465107694411093,0.02724000000000003,0.0235412465077311,0.2634275054971892,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,maximum_wetbulb_c,Maximum wet-bulb temperature,driver,climate_drivers,humid_heat_stress,C,main,False,2045,2054,10,27.04307157348652,1.8354182340544438,1.0169265988457934,0.03634603100609022,0.7933469655408352,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,peak_ghi_w_m2,Peak GHI,driver,climate_drivers,solar_burden,W/m2,main,False,2045,2054,10,1140.84,34.70837875147086,-25.719999999999914,-0.022703099324233998,-0.5330334238974647,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,peak_operative_temperature_c,Peak operative temperature,response,building_responses,habitability,C,main,False,2045,2054,10,26.91324908026119,0.11466446526725146,0.027238090489876753,0.001004434893660555,0.26337817820165754,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2045-2054,summer_mean_drybulb_c,Summer mean dry-bulb temperature,driver,climate_drivers,thermal_shift,C,main,False,2045,2054,10,21.0189,1.1393057876521897,0.7891899999999993,0.036949352784974375,0.7040621969178513,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,annual_cooling_electricity_kwh,Annual cooling electricity,response,building_responses,energy_burden,kWh,supporting,False,2055,2064,10,89426.9444444516,10187.812964889043,25042.777777779786,0.3227818422202704,2.190537268873077,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,annual_edh_c_h,Annual EDH,response,building_responses,habitability,C h,main,True,2055,2064,10,241.27649000000002,49.13576102171637,113.1839,0.6136859120085952,3.0777310637403814,10.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,annual_ghi_kwh_m2,Annual GHI,driver,climate_drivers,solar_burden,kWh/m2,main,False,2055,2064,10,1920.534,46.257999956764266,2.6150000000001454,0.0011011213530053964,0.04116096677122595,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,annual_heating_electricity_kwh,Annual heating electricity,response,building_responses,energy_burden,kWh,supporting,False,2055,2064,10,955.2777777778541,284.1474928062033,-753.3333333333936,-0.6285018541678129,-1.208146788491583,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,annual_mean_drybulb_c,Annual mean dry-bulb temperature,driver,climate_drivers,thermal_shift,C,main,False,2055,2064,10,19.269488489345527,0.6712084063916213,1.6230994101979193,0.08745993332581081,1.9980446264517457,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,cdd_18,Cooling degree days,driver,climate_drivers,demand_background,degree-days,main,False,2055,2064,10,990.347,176.43737095008464,305.303,0.35543068354945684,1.9900199923732707,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,cooling_peak_demand_kw,Cooling peak demand,response,building_responses,operational_adequacy,kW,main,False,2055,2064,10,67.113051,2.741503137544361,2.0238209999999994,0.029885378332695733,1.0936758802513482,0.0
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055-2064,cooling_setpoint_not_met_occupied_hours,Cooling setpoint not met occupied hours,response,building_responses,operational_adequacy,h,main,True,2055,2064,10,389.8000000000096,70.10947347973716,155.43333333334493,0.49248191942449404,2.6907119916808826,10.0
