scenario,building,city,climate_type,year,decade,score_family,family_score,component_count,component_metrics,breached_component_count,breached_component_metrics,interpretation_note
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2051,2045-2054,energy_burden_secondary,0.5665500975920489,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2051,2045-2054,habitability,-0.022344837630449088,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2051,2045-2054,operational_adequacy,-0.5405881128855125,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2052,2045-2054,energy_burden_secondary,1.5540097178751404,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2052,2045-2054,habitability,1.0848146410969306,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2052,2045-2054,operational_adequacy,1.2169697796827164,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2053,2045-2054,energy_burden_secondary,0.006001538538630025,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2053,2045-2054,habitability,0.5028228547577072,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2053,2045-2054,operational_adequacy,-0.6614712912840887,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2054,2045-2054,energy_burden_secondary,1.164517156036115,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2054,2045-2054,habitability,-1.2921455026374287,4,annual_edh_c_h; daily_edh_exceedance_days; maximum_daily_edh_k_h; maximum_delta_t_k,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2054,2045-2054,operational_adequacy,0.22668107061667922,3,cooling_peak_demand_kw; cooling_setpoint_not_met_occupied_hours; heating_unmet_hours,0,,
CORDEX_CMIP5_REMO2015_rcp85,office,Los_Angeles,Csb,2055,2055-2064,energy_burden_secondary,2.2809977060363145,1,annual_cooling_electricity_kwh,0,,"Secondary overlay, not main resilience family"
