city,metric,slope_per_year,normalized_slope,r2,p_value,mean,std,abs_norm_slope
Phoenix,facility_total_electricity_demand_rate_max_kw,-0.409238,-0.00216503,0.0945876,0.00688055,189.022,29.1907,0.00216503
Phoenix,facility_purchased_electricity_rate_max_kw,-0.409238,-0.00216503,0.0945876,0.00688055,189.022,29.1907,0.00216503
Phoenix,electricity_facility_peak_kw,-0.409238,-0.00216503,0.0945876,0.00688055,189.022,29.1907,0.00216503
Phoenix,electricity_facility_peak_w,-409.238,-0.00216503,0.0945876,0.00688055,189022,29190.7,0.00216503
Phoenix,outdoor_wetbulb_c_mean,0.0333339,0.00215746,0.654189,9.81861e-19,15.4505,0.904108,0.00215746
Los_Angeles,electricity_facility_annual_kwh,862.644,0.00215128,0.704302,2.89079e-21,400991,22549.5,0.00215128
Los_Angeles,electricity_facility_annual_gj,3.10552,0.00215128,0.704302,2.89079e-21,1443.57,81.1783,0.00215128
Los_Angeles,facility_purchased_electricity_energy_total_kwh,862.643,0.00215128,0.704301,2.89118e-21,400991,22549.5,0.00215128
Los_Angeles,facility_purchased_electricity_rate_mean_kw,0.0984752,0.00215128,0.704301,2.89118e-21,45.7752,2.57415,0.00215128
Los_Angeles,facility_total_electricity_demand_rate_mean_kw,0.0984752,0.00215128,0.704301,2.89118e-21,45.7752,2.57415,0.00215128
Miami,rep_zone_rh_pct_min,0.0497957,0.00214291,0.150349,0.000538693,23.2373,2.81726,0.00214291
Los_Angeles,outdoor_wetbulb_c_max,0.0595405,0.0021367,0.498714,1.034e-12,27.8657,1.84958,0.0021367
Phoenix,rep_zone_rh_pct_min,0.0176264,0.00213057,0.0411202,0.0789504,8.27312,1.90688,0.00213057
Phoenix,rep_zone_operative_temp_c_min,0.0440131,0.00209751,0.240483,6.8976e-06,20.9835,1.96891,0.00209751
Toronto,rep_zone_humidity_ratio_max,2.82283e-05,0.00207101,0.401305,8.17646e-10,0.0136302,0.000977535,0.00207101
Phoenix,rep_zone_rh_pct_max,-0.166539,-0.00206043,0.0557684,0.0399987,80.8276,15.4706,0.00206043
Miami,facility_purchased_electricity_energy_peak_timestep_kwh,0.0580617,0.00201993,0.730835,8.76042e-23,28.7444,1.48993,0.00201993
Miami,facility_purchased_electricity_rate_max_kw,0.34837,0.00201993,0.730835,8.76042e-23,172.467,8.93958,0.00201993
Miami,facility_total_electricity_demand_rate_max_kw,0.34837,0.00201993,0.730835,8.76042e-23,172.467,8.93958,0.00201993
Montreal,fans_electricity_annual_gj,0.189285,0.0020001,0.472023,7.23502e-12,94.6378,6.04394,0.0020001
Montreal,fans_electricity_annual_kwh,52.5792,0.0020001,0.472023,7.23502e-12,26288.3,1678.87,0.0020001
Vancouver,rep_zone_rh_pct_mean,0.0817852,0.00197306,0.696461,7.65372e-21,41.4509,2.14987,0.00197306
Phoenix,rep_zone_thermostat_air_temp_c_min,0.0406043,0.001936,0.238444,7.6463e-06,20.9734,1.82417,0.001936
Phoenix,rep_zone_mean_air_temp_c_min,0.0406043,0.001936,0.238444,7.6463e-06,20.9734,1.82417,0.001936
Phoenix,fans_electricity_peak_kw,0.0409091,0.0019283,0.588893,6.21234e-16,21.2151,1.16946,0.0019283
Phoenix,fans_electricity_peak_w,40.9091,0.0019283,0.588893,6.21234e-16,21215.1,1169.46,0.0019283
Miami,electricity_facility_peak_w,330.857,0.00191405,0.739121,5.40049e-23,172857,8331.34,0.00191405
Miami,electricity_facility_peak_kw,0.330857,0.00191405,0.739121,5.40049e-23,172.857,8.33134,0.00191405
Montreal,rep_zone_sensible_heating_rate_max_kw,-0.0366627,-0.00188104,0.0234034,0.187055,19.4907,5.25739,0.00188104
Montreal,rep_zone_sensible_heating_energy_peak_timestep_kwh,-0.00611045,-0.00188104,0.0234034,0.187055,3.24845,0.876232,0.00188104
Toronto,outdoor_wetbulb_c_max,0.0488792,0.00185597,0.462578,1.40773e-11,26.3362,1.57658,0.00185597
Miami,outdoor_wetbulb_c_mean,0.0420908,0.0018321,0.755297,2.53857e-24,22.9741,1.06246,0.0018321
Miami,annual_edh_c_h,0.919598,0.00178916,0.105095,0.00427782,513.984,62.229,0.00178916
Vancouver,rep_zone_sensible_cooling_energy_peak_timestep_kwh,0.00633272,0.00177649,0.452234,2.88084e-11,3.56475,0.206583,0.00177649
Vancouver,rep_zone_sensible_cooling_rate_max_kw,0.0379963,0.00177649,0.452234,2.88084e-11,21.3885,1.2395,0.00177649
Los_Angeles,cooling_electricity_peak_w,120.438,0.00177117,0.539318,4.37542e-14,67999.5,3597.72,0.00177117
Los_Angeles,cooling_electricity_peak_kw,0.120438,0.00177117,0.539318,4.37542e-14,67.9995,3.59772,0.00177117
Vancouver,outdoor_drybulb_c_max,0.0466452,0.00176519,0.427379,1.52817e-10,26.425,1.56526,0.00176519
Montreal,outdoor_wetbulb_c_max,0.0446274,0.00172249,0.429053,1.36882e-10,25.9086,1.49462,0.00172249
Toronto,fans_electricity_annual_gj,0.164232,0.00169468,0.361332,9.38666e-09,96.9105,5.99365,0.00169468
Toronto,fans_electricity_annual_kwh,45.6201,0.00169468,0.361332,9.38666e-09,26919.6,1664.9,0.00169468
Miami,rep_zone_sensible_cooling_energy_total_kwh,152.22,0.00169219,0.181448,0.000124847,89954.5,7839.4,0.00169219
Miami,outdoor_drybulb_c_mean,0.0452431,0.00169,0.823844,1.2733e-29,26.771,1.09349,0.00169
Phoenix,rep_zone_sensible_cooling_energy_total_kwh,121.568,0.00167056,0.781991,3.47707e-26,72771.2,3015.82,0.00167056
Phoenix,rep_zone_sensible_cooling_rate_mean_kw,0.0138777,0.00167056,0.781991,3.47707e-26,8.30721,0.344271,0.00167056
Toronto,rep_zone_rh_pct_max,0.113729,0.00166968,0.279696,9.05618e-07,68.1143,4.71754,0.00166968
Los_Angeles,outdoor_drybulb_c_max,0.0554176,0.00166643,0.474614,6.01535e-12,33.2553,1.76467,0.00166643
Los_Angeles,rep_zone_rh_pct_min,0.0135314,0.0016563,0.0190274,0.234718,8.16968,2.15198,0.0016563
Los_Angeles,rep_zone_humidity_ratio_mean,1.40848e-05,0.00164697,0.472625,6.93206e-12,0.00855198,0.000449447,0.00164697
Los_Angeles,outdoor_rh_pct_min,-0.0143267,-0.0016107,0.0158662,0.278263,8.89474,2.49515,0.0016107
Montreal,rep_zone_humidity_ratio_mean,9.7698e-06,0.00156808,0.813435,1.07175e-28,0.00623041,0.000237635,0.00156808
Toronto,rep_zone_humidity_ratio_mean,9.89445e-06,0.00154457,0.855006,9.30779e-33,0.00640594,0.000234743,0.00154457
Los_Angeles,rep_zone_rh_pct_mean,0.0668841,0.00153178,0.446211,4.345e-11,43.6642,2.19653,0.00153178
Phoenix,facility_purchased_electricity_rate_mean_kw,0.0750864,0.00150684,0.770793,2.23421e-25,49.8304,1.87619,0.00150684
Phoenix,facility_total_electricity_demand_rate_mean_kw,0.0750864,0.00150684,0.770793,2.23421e-25,49.8304,1.87619,0.00150684
